38862,3886,10000,77758862,70836592
27751,2775,10000,55527751,50608777
44324,4432,10000,88684324,80967654
34917,3491,10000,69854917,63564882
45032,4503,10000,90105032,82503449
49501,4950,10000,99049501,90028962
22024,2202,10000,44062024,39924719
22035,2203,10000,44082035,40053013
30239,3023,10000,60490239,55071657
43698,4369,10000,87423698,79764251
24988,2498,10000,49984988,45562386
38603,3860,10000,77238603,70370623
20750,2075,10000,41520750,37834649
20861,2086,10000,41740861,37938123
24319,2431,10000,48644319,44415637
37228,3722,10000,74477228,67824171
47315,4731,10000,94667315,86220093
49032,4903,10000,98109032,89279683
31568,3156,10000,63151568,57478546
36289,3628,10000,72596289,65972265
41063,4106,10000,82161063,74674453
454,45,100,9454,8527
286,28,100,5886,5373
464,2,20,100,71
241,2,20,100,69
489,2,20,100,73
470,2,20,100,73
467,2,20,100,68
255,2,20,100,70
324,2,20,100,69
277,2,20,100,74
272,2,20,100,68
420,2,20,100,64
355,2,20,100,71
437,2,20,100,71
327,2,20,100,69
212,2,20,100,73
209,2,20,100,72
483,2,20,100,70
473,2,20,100,66
453,2,20,100,68
201,2,20,100,73
308,2,20,100,71
493,2,20,100,63
328,2,20,100,63
472,2,20,100,67
363,2,20,100,62
425,2,20,100,74
463,2,20,100,72
434,2,20,100,71
441,2,20,100,70
315,2,20,100,72
364,2,20,100,73
343,2,20,100,68
206,2,20,100,70
248,2,20,100,71
450,2,20,100,68
415,2,20,100,73
249,2,20,100,72
253,2,20,100,66
409,2,20,100,60
468,2,20,100,69
449,2,20,100,69
251,2,20,100,73
313,2,20,100,72
493,2,20,100,74
435,2,20,100,72
490,2,20,100,63
275,2,20,100,74
240,2,20,100,70
467,2,20,100,70
330,2,20,100,73
385,2,20,100,73
330,2,20,100,68
443,2,20,100,74
481,2,20,100,57
382,2,20,100,72
210,2,20,100,74
278,2,20,100,65
459,2,20,100,72
466,2,20,100,73
303,2,20,100,72
485,2,20,100,72
276,2,20,100,74
341,2,20,100,69
276,2,20,100,71
356,2,20,100,54
389,2,20,100,71
457,2,20,100,73
